ID,question,intention
6981,i gave birth in midmay and i take microv nonstop between the pad sinc birth or 11 week i still have no rule at the end of that microv wafer is what i have to wait 7 day to resum my old pill or do i take without stop,14
6982,my gyno my power is lutenyl 16th j 25 th cycl becaus i wa have irregular cycl and chest pain befor and dure the rule and i desir a pregnanc so i start my first board and i have all the same ha been badli chest while take still and now and the pain is more intens ha the habitudema gyno told me that i should have my rule 2 or three day after the last cachetaujourdhui thi is 7 day and i still have no rule is that normal,28
6983,volum fortimel pack,6
6984,what syrup taken against cough,32
6985,my daughter wa 1 month and i had to see a doctor for laryng célestèn 40 drop for 5 day is not it too much for an infant of that age,42
6986,can we prescrib eucalyptu globulu for a 6 year old,44
6987,2 engerix engerix 10 1 20,0
6988,seropram it caus drowsi,28
6989,and if it is possibl to coupl the effexor valdoxan,34
6990,trinordiol refund,47
6991,tea depuir compat with iron intak,34
6992,a doctor ask whether tablet are préviscan quadriséc for one of hi patient who have difficulti cut tablet,30
6993,forget cerazett pdt 2 day,13
6994,how long it take seroxat to act,23
6995,zoloft what is the recommend dosag,42
6996,trinordiol bleed,28
6997,can we begin to gain weight becaus of jasmin,28
6998,when do i have to take my tramadol tablet,38
6999,if stelara prescript for crohn diseas made by a nonhospit gastrologu cpam doe it cover,47
7000,my lower belli is serious inflat and wa advis the charcoal i want to know how much to take day,42
7001,hello it is now 10 year that i take the same treatment call zyprexa but wa told that if i stop abruptli it may be that i feel an addict whi meyou one said anyth befor,28
7002,which prescrib blood test befor start avastin,2
7003,my gyno prescrib me melian i want to know after how mani day doe it will be effect,23
7004,homeopathi and essenti oil compat,34
7005,is that take the spasfon entail a risk to the babi,44
7006,i take aspirin what are the risk to the babi and me,44
7007,for some day my doctor my prescrib the pyostacin but recent im itchi around the throat is that side effect due to pyostacin,28
7008,process time for antibiot,42
7009,i am under adep pill normodosé i believ and i took with 5 hour of lag or after i got a report do you think that there is a risk,48
7010,prozac the morn or even,38
7011,is what the rispéral gain weight,28
7012,i want to know losquon take the pill is that the stop for 7 day after 21 day will he risk get pregnant dure shutdown 7day pill,48
7013,risperd calm thought,31
7014,i take solupr and skenan 60 i notic a larg swell of the ankl and kickapiedi there a report,28
7015,sinc monday i take triafémi and i have pain in the lower abdomen sinc is that the pill can be hazard to health,28
7016,when shown the posit effect of seroxat,23
7017,dolipran child liquid shelf life,7
7018,i hope so with thi antibiot the contracept effect of my pill is inhibit thank you,34
7019,roaccutan is there a risk to human,48
7020,how to put a spong phamatex,14
7021,i take prozac and i can no longer fatigu becam chronic i dizzi hypotens i think ill stop at onc i feel wors becaus more abl to have an activ yat there an equival i could take,0
7022,evra patch either to appli yourself,15
7023,i would put a copper iud i want to know what happen dure the instal,35
7024,seroxat use in sever stress,31
7025,chang pill holgyem generik diane35 to cerazett,10
7026,i had my first inject of gardasil and i did not have my rule no forgotten pill is thi normal,28
7027,i made the bcg vaccin yesterday at 19 am and at present i have no bcgiti no abscess just a tini red mark you think i avoid for good abscess or ac can still occur after 24 hour,28
7028,st john wort and psychotrop allopatiqu,34
7029,ignitia amara ha 9ch or 15ch how granul,42
7030,t it is danger to make the vaccin gardasil after that of the flu,34
7031,disinfect a wound dacryoserum stroke,31
7032,seroxat even or morn,38
7033,we can vaccin a child 2 year against hepat b,44
7034,hello i take the pill mélian for year and in recent day for the first time i have my period for a wafer i gave birth there over 4 month i first took microv and for 2 month mélian these are not small bleed but realli rule ha what is it of do i still have a break of a week thank you,28
7035,i just learn that i have a urinari tract infect i am under amoxicillin clavulan acid i have gynopevari egg these drug are they danger for babi,44
7036,are did it with a long wean noctran,21
7037,my doc prescrib me rivotril 8 drop befor bedtim but i do not know how to take it spoon with a littl water yesterday i want to take it and burn lip ca me c normal and in addit i felt no effect,35
7038,what are the copper iud,4
7039,what sed for a child of 20 month,44
7040,what are the harm effect of ginseng capsul,28
7041,i take daili gen i comencé the paus after the first wafer my rule are still not arriv is thi normal,28
7042,i wa ask a mirena iud and tonight i have mini mini bleed after a pose is thi normal,28
7043,i take miness for 19 day without interupt from the begin of my latest rule and i just had blood loss are thi normal,28
7044,i wa advis of helichrysum mix with an oili liquid base or at worst neutral with veget oil for my knee regular massag you put what proport,36
7045,i have an addict to codolipran 400mg of paracetamol and 20mg of codein after 3 year of daili codolipran taken well over paracetamol rate are t it a real risk of have a druginduc hepat,48
7046,not de question on drug,48
7047,a pharmacist ask whether the tablet mirtazapin sandoz is score,30
7048,mercalm half life,41
7049,seroplex effect,31
7050,buy clomid onlin,8
7051,child ritalin outlet,44
7052,polio vaccin yemen t it is a danger to be vaccin sever time against the same diseas in a short time,48
7053,is that the onli vaccin dtp exist,29
7054,i take depakot 500 twice a day befor i start yesterday and i feel that thi is alreadi fact is thi normal,23
7055,what are the most common side effect with tamoxifen,28
7056,i should start to take my plate monday night ludéal ge and forget so i took my first pill tuesday after noon to 17h and i took anoth tuesday night to 22h but i had nausea and vomit that night i want to know if there is a signific risk of pregnanc if i have sex,48
7057,hi i take from me qque dian 35 and my gyno the represcrit me you have a loss of libido you have to water retent with thi pill,28
7058,is the fear effexor depress solv the problem for teenag,31
7059,sollian 50mg for neg schizophrenia,31
7060,clozaril,22
7061,t is there a problem if im wrong of time and i take my pill daili gen one hour befor,38
7062,can you drive with rivotril,43
7063,i take tamoxifen for 2 year after breast cancer my white blood cell are 19 doe tamoxifen may be respons i also take the effexor and calcium,28
7064,i would like to chain the pill without the 7day break is it possibl i take the pill dian 35,14
7065,no question on drug,39
7066,is what a person is awar of potenti side effect of influenzinum,28
7067,i had an inject of decapeptyl may 29 2009 i had my rule june 1 sinc i do not stop bleed is thi normal,28
7068,what is the recommend dosag for temesta,42
